,train,test,m1,m2,m3,m4
300,0.8778418985350789,0.7206516790936092,6.0,2.0,0.0,3.0
301,0.8468157415600617,0.727594446826252,6.0,2.0,0.0,4.0
302,0.877739152655927,0.7261333555365811,6.0,2.0,0.0,5.0
303,0.8123794982610911,0.7411447122245393,6.0,2.0,1.0,0.0
304,0.788650866686767,0.7401169164256856,6.0,2.0,1.0,1.0
305,0.777869796599202,0.7264696019244514,6.0,2.0,1.0,2.0
306,0.8668510610752377,0.7218825934008072,6.0,2.0,1.0,3.0
307,0.8308653848140267,0.7203219035549582,6.0,2.0,1.0,4.0
308,0.8694598782389393,0.7246774016393935,6.0,2.0,1.0,5.0
309,0.8012547422324525,0.7255425172909585,6.0,2.0,2.0,0.0
310,0.7801840369379889,0.7259650423221996,6.0,2.0,2.0,1.0
311,0.7611701890183405,0.7136040395721125,6.0,2.0,2.0,2.0
312,0.8554471385429765,0.7058097999822106,6.0,2.0,2.0,3.0
313,0.8192125875845981,0.7183474302787006,6.0,2.0,2.0,4.0
314,0.8578312800966486,0.7255790223855509,6.0,2.0,2.0,5.0
315,0.8775258932711839,0.7353282366494254,6.0,2.0,3.0,0.0
316,0.867571540502074,0.7205252630956536,6.0,2.0,3.0,1.0
317,0.8557235269067025,0.715378389072992,6.0,2.0,3.0,2.0
318,0.9171681420117408,0.7063306762142684,6.0,2.0,3.0,3.0
319,0.8945416473369182,0.7116482372592566,6.0,2.0,3.0,4.0
320,0.9120703359506946,0.7202189988683583,6.0,2.0,3.0,5.0
321,0.8489708046804644,0.7300701423671482,6.0,2.0,4.0,0.0
322,0.8313362195778429,0.7295533335803258,6.0,2.0,4.0,1.0
323,0.8175800443021446,0.7064024455168957,6.0,2.0,4.0,2.0
324,0.8955522902642009,0.7150699586692819,6.0,2.0,4.0,3.0
325,0.8641435295697146,0.7104860662806165,6.0,2.0,4.0,4.0
326,0.8936261797290092,0.7154027985514513,6.0,2.0,4.0,5.0
327,0.8780744226951348,0.7226844254202991,6.0,2.0,5.0,0.0
328,0.8669899007997657,0.7198289625643479,6.0,2.0,5.0,1.0
329,0.8606516451195341,0.7143526025150856,6.0,2.0,5.0,2.0
330,0.9132265557369728,0.7133727416826657,6.0,2.0,5.0,3.0
331,0.8943443348171108,0.714842914627948,6.0,2.0,5.0,4.0
332,0.9107088449555102,0.7283093140840714,6.0,2.0,5.0,5.0
333,0.885550081773019,0.7167502632170993,6.0,3.0,0.0,0.0
334,0.8814506331004414,0.7384153044829459,6.0,3.0,0.0,1.0
335,0.8781434209238892,0.7250763564126462,6.0,3.0,0.0,2.0
336,0.9293555684632606,0.7200653558881968,6.0,3.0,0.0,3.0
337,0.9077164563232042,0.7187608790793387,6.0,3.0,0.0,4.0
338,0.9253597006994173,0.7193641613542295,6.0,3.0,0.0,5.0
339,0.8818989687006861,0.7337246023383958,6.0,3.0,1.0,0.0
340,0.866083683358156,0.7370470622770013,6.0,3.0,1.0,1.0
341,0.8659744916669752,0.7249555237403381,6.0,3.0,1.0,2.0
342,0.9231256272174436,0.7264627488791345,6.0,3.0,1.0,3.0
343,0.9032651306122853,0.7255138752051143,6.0,3.0,1.0,4.0
344,0.92099326302846,0.7278786887227122,6.0,3.0,1.0,5.0
345,0.8782797306905262,0.7237312507717699,6.0,3.0,2.0,0.0
346,0.8677034315442732,0.7180056108297217,6.0,3.0,2.0,1.0
347,0.8576364822527527,0.7118965219526546,6.0,3.0,2.0,2.0
348,0.9170419683729149,0.7210113096563361,6.0,3.0,2.0,3.0
349,0.8947391572679323,0.7100876810293753,6.0,3.0,2.0,4.0
350,0.9154803311737266,0.7233612597951544,6.0,3.0,2.0,5.0
351,0.9278677131675064,0.7250579239504379,6.0,3.0,3.0,0.0
352,0.923208382585838,0.7329659496133974,6.0,3.0,3.0,1.0
353,0.9167331321742461,0.7118906975070018,6.0,3.0,3.0,2.0
354,0.9574992266201748,0.721712703755584,6.0,3.0,3.0,3.0
355,0.9410222007453433,0.7113869104709248,6.0,3.0,3.0,4.0
356,0.9536948715127987,0.7145388458343392,6.0,3.0,3.0,5.0
357,0.906884405398274,0.7252688098752085,6.0,3.0,4.0,0.0
358,0.9035017309973021,0.7272903308190489,6.0,3.0,4.0,1.0
359,0.8963959040697945,0.7113079208352641,6.0,3.0,4.0,2.0
360,0.9423687326487246,0.7124765785796531,6.0,3.0,4.0,3.0
361,0.9232923312360852,0.7071962147606928,6.0,3.0,4.0,4.0
362,0.939012848685314,0.7132245204118209,6.0,3.0,4.0,5.0
363,0.9252692547182008,0.7121962773051586,6.0,3.0,5.0,0.0
364,0.9220675758117193,0.7277661284218214,6.0,3.0,5.0,1.0
365,0.9125911093372397,0.7227223359343168,6.0,3.0,5.0,2.0
366,0.9539349329948174,0.7238662797874985,6.0,3.0,5.0,3.0
367,0.939109405651109,0.7271597707827614,6.0,3.0,5.0,4.0
368,0.9494156905848458,0.7206676672089672,6.0,3.0,5.0,5.0
369,0.8618669490563562,0.7286587727436133,6.0,4.0,0.0,0.0
370,0.8545761292099451,0.7426607900974291,6.0,4.0,0.0,1.0
371,0.848493062161443,0.7206104103462708,6.0,4.0,0.0,2.0
372,0.9078605759243682,0.7194577670981008,6.0,4.0,0.0,3.0
373,0.8848344836096032,0.7165403006466144,6.0,4.0,0.0,4.0
374,0.9075164831946211,0.731192441129563,6.0,4.0,0.0,5.0
375,0.8551848510529844,0.7295408561631938,6.0,4.0,1.0,0.0
376,0.8336019714759066,0.7367755409573782,6.0,4.0,1.0,1.0
377,0.8316349732473519,0.7263335083449461,6.0,4.0,1.0,2.0
378,0.9025038817976022,0.7275166847009573,6.0,4.0,1.0,3.0
379,0.8756295052786834,0.7159121207023595,6.0,4.0,1.0,4.0
380,0.9031782885389337,0.7293203067995364,6.0,4.0,1.0,5.0
381,0.8482805161969038,0.7155679041615999,6.0,4.0,2.0,0.0
382,0.8323924596050585,0.7264971998626114,6.0,4.0,2.0,1.0
383,0.8187845611564887,0.7022381374607957,6.0,4.0,2.0,2.0
384,0.8955096764325617,0.7092137721731766,6.0,4.0,2.0,3.0
385,0.8638199125311882,0.7094541241178424,6.0,4.0,2.0,4.0
386,0.8953877867949204,0.7100377389199618,6.0,4.0,2.0,5.0
387,0.9067484989982622,0.7233836094815927,6.0,4.0,3.0,0.0
388,0.9028869013624407,0.7303235225847248,6.0,4.0,3.0,1.0
